"","respid","birth.year","age","years.nk","edu.nk","class.nk","gender","origins","female","years.sk","pride.socialism","pride.politicalinfluence","pride.economics","pride.science","pride.sports","pride.arts","pride.baekdublood","pride.military","pride.revolutionaryhist","pride.groups","pride.juche","pride.socialsecurity","year.survey","weights"
"91",91,1979,40,24,NA,"Middle",1,"Unspecified",1,3,2,2,2,NA,NA,4,2,2,2,4,2,3,2016,NA
"92",92,1978,41,24,"Technical Training","Low",1,"North Hamgyong",1,12,NA,4,NA,NA,4,NA,4,NA,NA,4,NA,NA,2016,1.333748443
"93",93,1977,42,24,"Secondary School","Low",1,"North Hamgyong",1,10,3,2,2,2,2,3,2,4,3,3,3,2,2016,1.437181996
"94",94,1977,42,24,"Secondary School",NA,1,"North Hamgyong",1,12,2,2,2,2,3,4,2,3,2,2,2,2,2016,1.437181996
"95",95,1977,42,24,"Secondary School","High",0,"North Hamgyong",0,13,2,3,3,3,3,3,2,2,2,2,2,3,2016,3
"96",96,1976,43,24,"Secondary School","Low",1,"North Hamgyong",1,10,4,4,3,3,3,3,2,2,2,2,2,3,2016,1.437181996
"97",97,1976,43,24,"University+","Middle",0,"Pyongyang",0,19,2,2,2,4,4,4,2,4,2,2,2,3,2016,1.732323232
"98",98,1991,28,25,"Secondary School","High",0,"South Pyongan",0,1,2,2,3,3,2,3,2,3,4,3,3,3,2016,1.866666667
"99",99,1982,37,25,"Technical Training","High",1,"Unspecified",1,12,2,2,2,2,2,2,2,2,2,2,2,2,2016,NA
"100",100,1979,40,25,"Technical Training","Low",1,"Unspecified",1,14,3,2,2,2,4,4,2,3,2,3,2,2,2016,NA
"101",101,1978,41,25,NA,"Low",0,"North Hamgyong",0,13,2,2,2,2,4,4,2,2,2,2,2,2,2016,NA
"102",102,1992,27,26,"Secondary School","Middle-low",1,"Ryanggang",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"103",103,1992,27,26,"Secondary School","High",1,"Ryanggang",1,4,3,3,3,2,2,2,2,2,2,2,2,2,2016,3
"104",104,1991,28,26,"Secondary School","Middle",1,"North Hamgyong",1,2,3,3,2,3,3,2,2,4,2,2,2,2,2016,1.437181996
"105",105,1989,30,26,"Secondary School","High",1,"Ryanggang",1,3,3,3,3,3,3,3,3,3,3,3,3,3,2016,3
"106",106,1988,31,26,"Secondary School","Low",1,"South Hamgyong",1,5,4,3,3,4,4,4,3,NA,3,3,3,3,2016,1.437181996
"107",107,1987,32,26,"Secondary School","Middle-low",0,"North Hamgyong",0,5,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"108",108,1987,32,26,"Secondary School","Middle",0,"Ryanggang",0,6,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"109",109,1987,32,26,"Secondary School","Middle",1,"Ryanggang",1,6,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"110",110,1986,33,26,"Secondary School","Middle-low",1,"North Hamgyong",1,7,2,2,2,3,4,3,2,3,2,2,2,3,2016,1.437181996
"111",111,1982,37,26,"Secondary School","Low",1,"North Hamgyong",1,2,3,2,2,2,3,2,2,4,2,2,3,2,2016,1.437181996
"112",112,1975,44,26,"Technical Training","Middle-high",1,"North Hamgyong",1,8,NA,NA,NA,NA,4,NA,2,2,2,NA,1,4,2016,1.333748443
"113",113,1974,45,26,"Secondary School","Middle",1,"South Hamgyong",1,NA,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"114",114,1974,45,26,"Secondary School","High",0,"North Hamgyong",0,15,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"115",115,1974,45,26,"Technical Training","Middle-high",1,"Pyongyang",1,19,2,2,2,2,2,2,2,2,2,2,2,2,2016,0.666874222
"116",116,1992,27,27,"Secondary School","Middle-high",1,"North Hamgyong",1,NA,2,2,2,3,3,2,2,2,2,3,2,2,2016,1.437181996
"117",117,1984,35,27,"Secondary School","High",1,"North Hamgyong",1,1,4,4,4,3,4,4,2,4,1,2,2,2,2016,1.437181996
"118",118,1981,38,27,"Secondary School","Middle",1,"North Hamgyong",1,3,2,2,2,3,2,4,2,4,2,2,2,2,2016,1.437181996
"119",119,1980,39,27,"Secondary School","Low",0,"South Hamgyong",0,12,3,2,2,4,3,2,2,4,3,2,2,2,2016,3
"120",120,1976,43,27,"Secondary School","Middle",1,"North Hamgyong",1,16,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"121",121,1974,45,27,"Secondary School","Low",1,"Unspecified",1,10,2,2,2,2,2,2,2,2,2,2,2,2,2016,NA
"122",122,1973,46,27,"Secondary School","Low",1,"North Hamgyong",1,11,3,4,3,3,3,3,3,3,3,3,3,4,2016,1.437181996
"123",123,1973,46,27,"University+","Low",0,"South Hamgyong",0,11,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"124",124,1971,48,27,"Technical Training","Middle-low",0,"Pyongyang",0,13,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.732323232
"125",125,1989,30,28,"Secondary School","Middle",1,"South Hwanghae",1,1,4,2,2,2,2,2,2,4,2,2,2,2,2016,2.155772994
"126",126,1989,30,28,"Technical Training","Middle-low",1,"Ryanggang",1,2,3,2,2,2,2,2,2,2,2,NA,2,2,2016,3
"127",127,1988,31,28,"Technical Training","Middle-low",1,"Ryanggang",1,2,3,3,2,3,3,3,3,4,4,2,2,3,2016,3
"128",128,1988,31,28,"Secondary School","Middle",1,"Ryanggang",1,2,3,3,2,4,4,4,3,2,2,2,2,2,2016,3
"129",129,1987,32,28,"<=Elementary","Middle",1,"North Hamgyong",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.397260274
"130",130,1987,32,28,NA,NA,1,"North Hwanghae",1,2,2,2,3,3,3,2,2,3,2,2,2,2,2016,NA
"131",131,1986,33,28,"Secondary School","Middle",1,"Ryanggang",1,NA,2,3,3,3,4,4,4,4,4,3,3,3,2016,3
"132",132,1985,34,28,"Secondary School","Low",1,"Unspecified",1,6,2,2,2,2,2,2,2,2,2,2,2,2,2016,NA
"133",133,1979,40,28,"Secondary School","Low",0,"North Hamgyong",0,11,3,2,1,2,NA,NA,NA,NA,NA,NA,4,1,2016,3
"134",134,1976,43,28,"Secondary School","Middle-low",1,"Unspecified",1,5,1,1,1,1,1,1,1,1,1,1,1,1,2016,NA
"135",135,1976,43,28,"Secondary School","Low",0,"North Hamgyong",0,14,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,2016,3
"136",136,1973,46,28,"Secondary School","High",1,"North Hamgyong",1,7,3,3,3,3,3,4,3,3,3,3,3,3,2016,1.437181996
"137",137,1971,48,28,"Technical Training","Low",0,"North Hamgyong",0,9,4,3,2,4,4,4,2,4,2,3,2,4,2016,3
"138",138,1989,30,29,"Secondary School","Middle",0,"Ryanggang",0,NA,2,2,2,3,4,4,2,4,3,2,2,2,2016,3
"139",139,1989,30,29,"Secondary School","Middle",1,"South Hamgyong",1,1,3,3,3,3,3,3,2,3,2,2,2,3,2016,1.437181996
"140",140,1987,32,29,"Secondary School","Middle",1,"Ryanggang",1,2,3,2,2,3,4,NA,2,NA,2,2,2,2,2016,3
"141",141,1979,40,29,"Secondary School","Low",1,"Pyongyang",1,11,3,3,3,3,4,4,3,4,2,3,1,3,2016,0.718590998
"142",142,1971,48,29,"Technical Training","Middle-low",1,"Unspecified",1,4,3,3,3,3,3,3,3,4,3,3,3,3,2016,NA
"143",143,1970,49,29,"Secondary School","Low",1,"North Pyongan",1,14,2,2,2,2,2,2,2,2,2,2,2,3,2016,0.718590998
"144",144,1983,36,30,"University+","Middle-high",1,"Pyongyang",1,6,3,2,2,2,4,4,2,2,2,4,3,2,2016,0.666874222
"145",145,1982,37,30,"Technical Training","Middle",1,"Ryanggang",1,5,3,2,2,3,3,3,2,2,2,2,2,3,2016,3
"146",146,1981,38,30,"Technical Training","Middle",1,"Ryanggang",1,8,3,4,4,3,3,4,4,4,4,3,3,2,2016,3
"147",147,1977,42,30,"University+","Middle-high",1,"North Hamgyong",1,9,2,2,2,2,2,3,2,2,2,2,2,2,2016,1.333748443
"148",148,1977,42,30,"Secondary School","Low",1,"North Hamgyong",1,11,2,2,2,2,2,3,2,2,2,2,2,2,2016,1.437181996
"149",149,1976,43,30,"Secondary School","Low",1,"Ryanggang",1,13,2,3,3,2,4,4,2,3,2,2,2,2,2016,3
"150",150,1970,49,30,"Secondary School","Low",1,"North Hamgyong",1,13,3,4,4,3,3,4,3,NA,3,3,3,3,2016,1.437181996
"151",151,1983,36,31,"Secondary School","Low",1,"South Hamgyong",1,1,2,2,2,3,3,3,2,3,2,2,2,2,2016,1.437181996
"152",152,1980,39,31,"Secondary School","High",0,"Ryanggang",0,8,3,4,3,4,4,4,3,4,4,3,4,3,2016,3
"153",153,1976,43,31,"Secondary School","Middle",1,"North Hamgyong",1,11,2,2,2,1,3,4,2,4,1,3,2,4,2016,1.437181996
"154",154,1976,43,31,"Secondary School","Low",0,"North Hamgyong",0,11,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"155",155,1976,43,31,"Secondary School","High",1,"Unspecified",1,12,3,3,4,4,4,4,3,4,3,4,3,4,2016,NA
"156",156,1975,44,31,"Secondary School","Low",1,"North Hamgyong",1,8,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"157",157,1975,44,31,"Secondary School","High",1,"North Hamgyong",1,10,3,3,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"158",158,1975,44,31,"Secondary School","Low",0,"North Hamgyong",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,3
"159",159,1974,45,31,"Secondary School","Low",1,"North Hamgyong",1,10,3,3,3,NA,2,4,2,4,2,4,2,3,2016,1.437181996
"160",160,1970,49,31,"Secondary School","Low",1,"North Hamgyong",1,2,2,2,2,2,3,2,2,4,3,2,2,2,2016,1.437181996
"161",161,1970,49,31,"Technical Training","Low",0,"Unspecified",0,6,2,2,2,3,4,4,3,2,2,2,2,3,2016,NA
"162",162,1984,35,32,"University+","Middle-low",1,"Ryanggang",1,3,3,3,4,4,4,4,2,1,1,2,2,3,2016,3
"163",163,1982,37,32,"Secondary School","Middle",1,"North Hamgyong",1,5,3,2,1,3,4,4,2,4,2,3,4,2,2016,1.437181996
"164",164,1975,44,32,"Secondary School","Middle",0,"North Hamgyong",0,6,3,2,2,2,3,3,2,2,2,2,2,2,2016,3
"165",165,1972,47,32,"Secondary School","Low",1,"North Hamgyong",1,9,2,3,3,4,4,3,2,2,2,2,2,3,2016,1.437181996
"166",166,1972,47,32,"Secondary School","Low",1,"North Hamgyong",1,11,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"167",167,1971,48,32,"Secondary School","Middle",1,"North Hamgyong",1,16,3,3,3,2,3,3,3,3,3,3,3,3,2016,1.437181996
"168",168,1970,49,32,"Secondary School","Middle",1,"North Hamgyong",1,2,4,2,2,2,2,3,2,4,3,2,3,3,2016,1.437181996
"169",169,1970,49,32,"University+","Middle-low",1,"Pyongyang",1,9,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2016,0.666874222
"170",170,1969,50,32,"Secondary School","Middle",1,"North Hamgyong",1,14,4,4,4,4,4,4,3,4,3,3,3,3,2016,1.437181996
"171",171,1968,51,32,"Technical Training","High",0,"North Hamgyong",0,19,NA,4,4,4,NA,4,NA,NA,NA,3,NA,4,2016,3
"172",172,1983,36,33,"Secondary School","Middle",1,"North Hamgyong",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"173",173,1977,42,33,"Secondary School","Low",0,"Gangwon",0,8,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"174",174,1976,43,33,"Secondary School","Low",1,"North Hamgyong",1,10,2,2,2,2,2,NA,2,2,2,2,2,2,2016,1.437181996
"175",175,1975,44,33,"Secondary School","High",1,"North Hamgyong",1,10,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
